request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_148,7122.11,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,stop:event_13593,7122.11 ZAR is safe today before optional changes; the reserve is 20000 ZAR. Installments: complete payment by 2024-08-15. Requires stop:event_13593. Forecast minimum after payments: 20062.75 ZAR.
request_149,22374.05,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,22374.05 ZAR is safe today before optional changes; the reserve is 42100 ZAR. Installments: complete payment by 2026-01-13. Forecast minimum after payments: 42632.49 ZAR.
request_150,253.53,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13786|reduce_to:event_13787:16,253.53 EUR is safe today before optional changes; the reserve is 700 EUR. Installments: complete payment by 2026-03-07. Requires stop:event_13786|reduce_to:event_13787:16. Forecast minimum after payments: 721.11 EUR.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,26999000 IDR is safe today before optional changes; the reserve is 31633600 IDR. Full payment: complete payment by 2024-09-03. Forecast minimum after payments: 32148403.82 IDR.
request_152,11077.26,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,stop:event_13957|reduce_to:event_14024:234.3,11077.26 ZAR is safe today before optional changes; the reserve is 11900 ZAR. Installments: complete payment by 2025-04-09. Requires stop:event_13957|reduce_to:event_14024:234.3. Forecast minimum after payments: 11953.73 ZAR.
request_153,15.2,not_affordable,not_recommended,none,,none,15.2 USD is safe today before optional changes; the reserve is 1400 USD. No permitted plan completes the request by 2026-09-24 while passing the 90-day reserve check.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,1625.8 EUR is safe today before optional changes; the reserve is 1300 EUR. Installments: complete payment by 2025-02-04. Forecast minimum after payments: 2491.25 EUR.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,112500 INR is safe today before optional changes; the reserve is 56300 INR. Full payment: complete payment by 2025-05-06. Forecast minimum after payments: 76602.21 INR.
request_156,8498.94,affordable_later,wait,2026-06-15:43076,2026-06-15,none,8498.94 ZAR is safe today before optional changes; the reserve is 26900 ZAR. Wait: complete payment by 2026-06-15. Forecast minimum after payments: 35398.94 ZAR.
request_157,4779130.12,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,4779130.12 IDR is safe today before optional changes; the reserve is 15714100 IDR. Wait: complete payment by 2024-05-15. Forecast minimum after payments: 19597062.63 IDR.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,242600 INR is safe today before optional changes; the reserve is 131400 INR. Installments: complete payment by 2025-10-02. Forecast minimum after payments: 606189.87 INR.
request_159,0,not_affordable,not_recommended,none,,none,0 ZAR is safe today before optional changes; the reserve is 8700 ZAR. No permitted plan completes the request by 2026-03-20 while passing the 90-day reserve check.
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,569.52 EUR is safe today before optional changes; the reserve is 1200 EUR. Installments: complete payment by 2024-08-14. Forecast minimum after payments: 1337.47 EUR.
request_161,6926499.97,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,6926499.97 IDR is safe today before optional changes; the reserve is 23010400 IDR. Wait: complete payment by 2026-01-15. Forecast minimum after payments: 29936899.97 IDR.
request_162,1264910.58,not_affordable,not_recommended,none,,none,1264910.58 IDR is safe today before optional changes; the reserve is 24161100 IDR. No permitted plan completes the request by 2026-08-26 while passing the 90-day reserve check.
request_163,8908562.7,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,8908562.7 IDR is safe today before optional changes; the reserve is 26728700 IDR. Installments: complete payment by 2024-11-11. Forecast minimum after payments: 28945209.37 IDR.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,27018000 IDR is safe today before optional changes; the reserve is 29550500 IDR. Installments: complete payment by 2025-04-08. Forecast minimum after payments: 49740401.36 IDR.
request_165,67524.43,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15135|reduce_to:event_15136:1048,67524.43 INR is safe today before optional changes; the reserve is 95000 INR. Full payment: complete payment by 2026-04-06. Requires stop:event_15135|reduce_to:event_15136:1048. Forecast minimum after payments: 96630.43 INR.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,2907.6 USD is safe today before optional changes; the reserve is 1700 USD. Installments: complete payment by 2025-02-03. Forecast minimum after payments: 3734.9 USD.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,43802 ZAR is safe today before optional changes; the reserve is 31200 ZAR. Full payment: complete payment by 2025-05-05. Forecast minimum after payments: 36228.22 ZAR.
request_168,30525.41,affordable_with_plan,partial_payment,2026-01-07:30525.41|2026-02-15:18854.59,2026-02-15,none,30525.41 INR is safe today before optional changes; the reserve is 114400 INR. Partial payment: complete payment by 2026-02-15. Forecast minimum after payments: 114400 INR.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,41976 ZAR is safe today before optional changes; the reserve is 18700 ZAR. Full payment: complete payment by 2024-03-04. Forecast minimum after payments: 23826.09 ZAR.
request_170,29822835.02,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,29822835.02 IDR is safe today before optional changes; the reserve is 24715800 IDR. Installments: complete payment by 2025-10-01. Forecast minimum after payments: 25390026.45 IDR.
request_171,32.37,not_affordable,not_recommended,none,,none,32.37 EUR is safe today before optional changes; the reserve is 500 EUR. No permitted plan completes the request by 2026-09-10 while passing the 90-day reserve check.
request_172,9077.21,affordable_with_plan,partial_payment,2024-06-05:9077.21|2024-06-15:1122.79,2024-06-15,none,9077.21 ZAR is safe today before optional changes; the reserve is 27200 ZAR. Partial payment: complete payment by 2024-06-15. Forecast minimum after payments: 27200 ZAR.
request_173,55304.7,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,55304.7 INR is safe today before optional changes; the reserve is 79100 INR. Installments: complete payment by 2026-01-16. Forecast minimum after payments: 80820.34 INR.
request_174,1085.45,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,stop:event_15975|reduce_to:event_15976:16.8,1085.45 EUR is safe today before optional changes; the reserve is 700 EUR. Installments: complete payment by 2026-06-03. Requires stop:event_15975|reduce_to:event_15976:16.8. Forecast minimum after payments: 720 EUR.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,2346.3 EUR is safe today before optional changes; the reserve is 1700 EUR. Full payment: complete payment by 2024-09-06. Forecast minimum after payments: 1908.34 EUR.
request_176,367.44,not_affordable,not_recommended,none,,none,367.44 EUR is safe today before optional changes; the reserve is 600 EUR. No permitted plan completes the request by 2025-02-27 while passing the 90-day reserve check.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,1017.6 USD is safe today before optional changes; the reserve is 1300 USD. Full payment: complete payment by 2026-01-05. Forecast minimum after payments: 1389.09 USD.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,2938.1 EUR is safe today before optional changes; the reserve is 1400 EUR. Installments: complete payment by 2025-02-07. Forecast minimum after payments: 3269.47 EUR.
request_179,6522296.23,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,6522296.23 IDR is safe today before optional changes; the reserve is 41430800 IDR. Wait: complete payment by 2025-07-15. Forecast minimum after payments: 47953096.23 IDR.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,66500 INR is safe today before optional changes; the reserve is 37300 INR. Full payment: complete payment by 2026-07-06. Forecast minimum after payments: 47419.78 INR.
request_181,283.68,not_affordable,not_recommended,none,,none,283.68 USD is safe today before optional changes; the reserve is 2000 USD. No permitted plan completes the request by 2024-04-07 while passing the 90-day reserve check.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,65714 ZAR is safe today before optional changes; the reserve is 31100 ZAR. Full payment: complete payment by 2025-08-05. Forecast minimum after payments: 42771.26 ZAR.
request_183,22981348.55,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,stop:event_16813,22981348.55 IDR is safe today before optional changes; the reserve is 11878300 IDR. Installments: complete payment by 2026-06-09. Requires stop:event_16813. Forecast minimum after payments: 12100216.09 IDR.
request_184,7134.14,not_affordable,not_recommended,none,,none,7134.14 INR is safe today before optional changes; the reserve is 110800 INR. No permitted plan completes the request by 2024-07-30 while passing the 90-day reserve check.
request_185,312.09,affordable_with_plan,wait,2026-01-15:1257.3,,stop:event_17052,312.09 EUR is safe today before optional changes; the reserve is 1300 EUR. Wait: complete payment by 2026-01-15. Requires stop:event_17052. Forecast minimum after payments: 1349.81 EUR.
request_186,4348.95,affordable_later,wait,2026-03-15:26554,2026-03-15,none,4348.95 ZAR is safe today before optional changes; the reserve is 22000 ZAR. Wait: complete payment by 2026-03-15. Forecast minimum after payments: 24461.91 ZAR.
request_187,37844.44,affordable_later,wait,2024-11-15:187500,2024-11-15,none,37844.44 INR is safe today before optional changes; the reserve is 128300 INR. Wait: complete payment by 2024-11-15. Forecast minimum after payments: 166144.44 INR.
request_188,103.37,not_affordable,not_recommended,none,,none,103.37 EUR is safe today before optional changes; the reserve is 900 EUR. No permitted plan completes the request by 2025-03-04 while passing the 90-day reserve check.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,488.4 EUR is safe today before optional changes; the reserve is 400 EUR. Full payment: complete payment by 2026-07-04. Forecast minimum after payments: 474.03 EUR.
request_190,483.92,affordable_later,wait,2025-02-15:2557.5,2025-02-15,none,483.92 EUR is safe today before optional changes; the reserve is 1600 EUR. Wait: complete payment by 2025-02-15. Forecast minimum after payments: 1926.82 EUR.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,664.4 EUR is safe today before optional changes; the reserve is 500 EUR. Full payment: complete payment by 2025-05-03. Forecast minimum after payments: 600.58 EUR.
request_192,107.2,not_affordable,not_recommended,none,,none,107.2 USD is safe today before optional changes; the reserve is 1000 USD. No permitted plan completes the request by 2026-05-11 while passing the 90-day reserve check.
request_193,33.09,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,33.09 EUR is safe today before optional changes; the reserve is 1000 EUR. Installments: complete payment by 2024-05-22. Forecast minimum after payments: 1033.09 EUR.
request_194,33157.7,affordable_later,wait,2025-10-23:132800,2025-10-23,none,33157.7 INR is safe today before optional changes; the reserve is 113600 INR. Wait: complete payment by 2025-10-23. Forecast minimum after payments: 146757.7 INR.
request_195,965.93,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,reduce_to:event_17955:12,965.93 EUR is safe today before optional changes; the reserve is 700 EUR. Installments: complete payment by 2026-03-10. Requires reduce_to:event_17955:12. Forecast minimum after payments: 731.87 EUR.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,762.3 EUR is safe today before optional changes; the reserve is 500 EUR. Full payment: complete payment by 2024-06-03. Forecast minimum after payments: 664.77 EUR.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,50939000 IDR is safe today before optional changes; the reserve is 26245900 IDR. Installments: complete payment by 2026-01-14. Forecast minimum after payments: 27983959.69 IDR.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,185800 INR is safe today before optional changes; the reserve is 124300 INR. Full payment: complete payment by 2026-07-07. Forecast minimum after payments: 157332.65 INR.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,23674000 IDR is safe today before optional changes; the reserve is 25359500 IDR. Installments: complete payment by 2024-11-08. Forecast minimum after payments: 26216240.28 IDR.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,21717000 IDR is safe today before optional changes; the reserve is 20114600 IDR. Full payment: complete payment by 2025-02-06. Forecast minimum after payments: 24389170.19 IDR.
request_201,23122198.09,affordable_with_plan,full_payment,2026-04-03:23997000,,stop:event_18493,23122198.09 IDR is safe today before optional changes; the reserve is 17304500 IDR. Full payment: complete payment by 2026-04-03. Requires stop:event_18493. Forecast minimum after payments: 17632398.09 IDR.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,123900 INR is safe today before optional changes; the reserve is 147800 INR. Full payment: complete payment by 2024-12-05. Forecast minimum after payments: 166645.67 INR.
request_203,781.88,not_affordable,not_recommended,none,,none,781.88 EUR is safe today before optional changes; the reserve is 1400 EUR. No permitted plan completes the request by 2025-07-08 while passing the 90-day reserve check.
request_204,571.82,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,571.82 EUR is safe today before optional changes; the reserve is 1300 EUR. Wait: complete payment by 2026-01-15. Forecast minimum after payments: 1414.96 EUR.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,10621000 IDR is safe today before optional changes; the reserve is 13994300 IDR. Full payment: complete payment by 2024-03-06. Forecast minimum after payments: 15515233.47 IDR.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,1404.7 EUR is safe today before optional changes; the reserve is 900 EUR. Installments: complete payment by 2025-09-28. Forecast minimum after payments: 4144.23 EUR.
request_207,4573.2,affordable_later,wait,2026-07-15:11830,2026-07-15,none,4573.2 ZAR is safe today before optional changes; the reserve is 13600 ZAR. Wait: complete payment by 2026-07-15. Forecast minimum after payments: 15572.28 ZAR.
request_208,3057504.44,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,3057504.44 IDR is safe today before optional changes; the reserve is 10470700 IDR. Wait: complete payment by 2024-06-15. Forecast minimum after payments: 12328825.69 IDR.
request_209,1650.18,not_affordable,not_recommended,none,,none,1650.18 ZAR is safe today before optional changes; the reserve is 18400 ZAR. No permitted plan completes the request by 2025-11-25 while passing the 90-day reserve check.
request_210,826.61,affordable_with_plan,partial_payment,2026-04-06:826.61|2026-04-15:533.41,2026-04-15,none,826.61 USD is safe today before optional changes; the reserve is 2000 USD. Partial payment: complete payment by 2026-04-15. Forecast minimum after payments: 2000 USD.
request_211,251.57,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,251.57 EUR is safe today before optional changes; the reserve is 1500 EUR. Wait: complete payment by 2024-11-15. Forecast minimum after payments: 1751.57 EUR.
request_212,4152548.06,not_affordable,not_recommended,none,,none,4152548.06 IDR is safe today before optional changes; the reserve is 29579800 IDR. No permitted plan completes the request by 2025-02-28 while passing the 90-day reserve check.
request_213,2378.71,not_affordable,not_recommended,none,,none,2378.71 USD is safe today before optional changes; the reserve is 2100 USD. No permitted plan completes the request by 2026-03-22 while passing the 90-day reserve check.
request_214,40070.71,affordable_with_plan,partial_payment,2024-12-04:40070.71|2024-12-15:29679.29,2024-12-15,none,40070.71 INR is safe today before optional changes; the reserve is 174900 INR. Partial payment: complete payment by 2024-12-15. Forecast minimum after payments: 174900 INR.
request_215,26853.39,not_affordable,not_recommended,none,,none,26853.39 ZAR is safe today before optional changes; the reserve is 15700 ZAR. No permitted plan completes the request by 2025-07-10 while passing the 90-day reserve check.
request_216,486.98,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,486.98 USD is safe today before optional changes; the reserve is 1800 USD. Wait: complete payment by 2026-09-15. Forecast minimum after payments: 2286.98 USD.
request_217,19605.03,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,19605.03 ZAR is safe today before optional changes; the reserve is 26800 ZAR. Installments: complete payment by 2024-05-20. Forecast minimum after payments: 27612.78 ZAR.
request_218,24611852.52,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,24611852.52 IDR is safe today before optional changes; the reserve is 34477200 IDR. Installments: complete payment by 2025-10-02. Forecast minimum after payments: 37893159.19 IDR.
request_219,711.17,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,711.17 EUR is safe today before optional changes; the reserve is 1100 EUR. Installments: complete payment by 2026-06-06. Forecast minimum after payments: 1192.83 EUR.
request_220,67.54,not_affordable,not_recommended,none,,none,67.54 EUR is safe today before optional changes; the reserve is 1100 EUR. No permitted plan completes the request by 2024-07-03 while passing the 90-day reserve check.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,109800 INR is safe today before optional changes; the reserve is 81500 INR. Full payment: complete payment by 2025-11-03. Forecast minimum after payments: 102811.69 INR.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,34078 ZAR is safe today before optional changes; the reserve is 27300 ZAR. Full payment: complete payment by 2026-01-05. Forecast minimum after payments: 60214.22 ZAR.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,898.7 EUR is safe today before optional changes; the reserve is 800 EUR. Full payment: complete payment by 2024-09-07. Forecast minimum after payments: 997.42 EUR.
request_224,10017663.68,affordable_with_plan,partial_payment,2025-02-04:10017663.68|2025-02-15:309336.32,2025-02-15,none,10017663.68 IDR is safe today before optional changes; the reserve is 22187600 IDR. Partial payment: complete payment by 2025-02-15. Forecast minimum after payments: 22187600 IDR.
request_225,9590423.21,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,9590423.21 IDR is safe today before optional changes; the reserve is 17670700 IDR. Installments: complete payment by 2026-09-18. Forecast minimum after payments: 18566453.43 IDR.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,157000 INR is safe today before optional changes; the reserve is 209400 INR. Full payment: complete payment by 2024-12-03. Forecast minimum after payments: 238255.05 INR.
request_227,7567.27,not_affordable,not_recommended,none,,none,7567.27 INR is safe today before optional changes; the reserve is 62900 INR. No permitted plan completes the request by 2025-06-20 while passing the 90-day reserve check.
request_228,1495961.87,not_affordable,not_recommended,none,,none,1495961.87 IDR is safe today before optional changes; the reserve is 26191200 IDR. No permitted plan completes the request by 2026-04-30 while passing the 90-day reserve check.
request_229,434.65,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,434.65 EUR is safe today before optional changes; the reserve is 1000 EUR. Installments: complete payment by 2024-05-19. Forecast minimum after payments: 1037.64 EUR.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,3537.6 EUR is safe today before optional changes; the reserve is 2000 EUR. Full payment: complete payment by 2025-08-06. Forecast minimum after payments: 3966.15 EUR.
request_231,30633.58,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,stop:event_21224,30633.58 ZAR is safe today before optional changes; the reserve is 24300 ZAR. Installments: complete payment by 2026-03-07. Requires stop:event_21224. Forecast minimum after payments: 26251.62 ZAR.
request_232,626.56,affordable_with_plan,wait,2024-08-15:1970.1,,reduce_to:event_21408:50,626.56 EUR is safe today before optional changes; the reserve is 2400 EUR. Wait: complete payment by 2024-08-15. Requires reduce_to:event_21408:50. Forecast minimum after payments: 2611.17 EUR.
request_233,3738334.07,affordable_with_plan,partial_payment,2025-11-07:3738334.07|2025-11-15:2502665.93,2025-11-15,none,3738334.07 IDR is safe today before optional changes; the reserve is 10365700 IDR. Partial payment: complete payment by 2025-11-15. Forecast minimum after payments: 10365700 IDR.
request_234,184.62,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,184.62 EUR is safe today before optional changes; the reserve is 700 EUR. Wait: complete payment by 2026-09-15. Forecast minimum after payments: 884.62 EUR.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,967.2 USD is safe today before optional changes; the reserve is 700 USD. Full payment: complete payment by 2024-09-06. Forecast minimum after payments: 820.89 USD.
request_236,5830036.96,not_affordable,not_recommended,none,,none,5830036.96 IDR is safe today before optional changes; the reserve is 16768600 IDR. No permitted plan completes the request by 2025-02-23 while passing the 90-day reserve check.
request_237,22253039.29,affordable_with_plan,full_payment,2026-04-05:23826000,,reduce_to:event_21813:548720,22253039.29 IDR is safe today before optional changes; the reserve is 22431500 IDR. Full payment: complete payment by 2026-04-05. Requires reduce_to:event_21813:548720. Forecast minimum after payments: 23327779.29 IDR.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,663.6 USD is safe today before optional changes; the reserve is 700 USD. Installments: complete payment by 2025-02-07. Forecast minimum after payments: 1414.68 USD.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,642 USD is safe today before optional changes; the reserve is 600 USD. Full payment: complete payment by 2025-05-04. Forecast minimum after payments: 654.78 USD.
request_240,13749.64,not_affordable,not_recommended,none,,none,13749.64 INR is safe today before optional changes; the reserve is 52800 INR. No permitted plan completes the request by 2026-03-20 while passing the 90-day reserve check.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,21052000 IDR is safe today before optional changes; the reserve is 19252000 IDR. Installments: complete payment by 2024-05-18. Forecast minimum after payments: 21251377.75 IDR.
request_242,27.17,not_affordable,not_recommended,none,,none,27.17 EUR is safe today before optional changes; the reserve is 600 EUR. No permitted plan completes the request by 2025-08-25 while passing the 90-day reserve check.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,17468 ZAR is safe today before optional changes; the reserve is 19900 ZAR. Full payment: complete payment by 2026-07-07. Forecast minimum after payments: 22998.78 ZAR.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,49918 ZAR is safe today before optional changes; the reserve is 45900 ZAR. Full payment: complete payment by 2024-06-04. Forecast minimum after payments: 56811.24 ZAR.
request_245,23885.55,affordable_later,wait,2026-01-15:128500,2026-01-15,none,23885.55 INR is safe today before optional changes; the reserve is 94600 INR. Wait: complete payment by 2026-01-15. Forecast minimum after payments: 111894.5 INR.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,64086 ZAR is safe today before optional changes; the reserve is 39300 ZAR. Installments: complete payment by 2026-06-02. Forecast minimum after payments: 42353.42 ZAR.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,1059.3 EUR is safe today before optional changes; the reserve is 1300 EUR. Full payment: complete payment by 2024-09-05. Forecast minimum after payments: 1342.59 EUR.
request_248,939.03,affordable_with_plan,partial_payment,2025-02-07:939.03|2025-04-15:1026.57,2025-04-15,none,939.03 USD is safe today before optional changes; the reserve is 1300 USD. Partial payment: complete payment by 2025-04-15. Forecast minimum after payments: 1300 USD.
request_249,126.52,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,126.52 USD is safe today before optional changes; the reserve is 600 USD. Wait: complete payment by 2026-03-15. Forecast minimum after payments: 690.31 USD.
request_250,15440.17,not_affordable,not_recommended,none,,none,15440.17 ZAR is safe today before optional changes; the reserve is 35300 ZAR. No permitted plan completes the request by 2025-01-18 while passing the 90-day reserve check.
request_251,79.83,not_affordable,not_recommended,none,,none,79.83 EUR is safe today before optional changes; the reserve is 1300 EUR. No permitted plan completes the request by 2025-06-06 while passing the 90-day reserve check.
request_252,3988819.51,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,3988819.51 IDR is safe today before optional changes; the reserve is 15152200 IDR. Wait: complete payment by 2026-09-15. Forecast minimum after payments: 19141019.51 IDR.
request_253,1378.28,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,1378.28 EUR is safe today before optional changes; the reserve is 2300 EUR. Installments: complete payment by 2024-05-22. Forecast minimum after payments: 2458.66 EUR.
request_254,637.23,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,637.23 USD is safe today before optional changes; the reserve is 2500 USD. Wait: complete payment by 2025-10-15. Forecast minimum after payments: 3137.23 USD.
request_255,750746.06,not_affordable,not_recommended,none,,none,750746.06 IDR is safe today before optional changes; the reserve is 9813900 IDR. No permitted plan completes the request by 2026-06-15 while passing the 90-day reserve check.
request_256,152784,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,152784 INR is safe today before optional changes; the reserve is 168600 INR. Installments: complete payment by 2024-08-11. Forecast minimum after payments: 185472.65 INR.
request_257,311.33,affordable_later,wait,2026-01-15:1352.4,2026-01-15,none,311.33 USD is safe today before optional changes; the reserve is 1600 USD. Wait: complete payment by 2026-01-15. Forecast minimum after payments: 1604.28 USD.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,1113.6 USD is safe today before optional changes; the reserve is 500 USD. Full payment: complete payment by 2026-01-07. Forecast minimum after payments: 562.08 USD.
request_259,211.88,affordable_later,wait,2024-11-15:935,2024-11-15,none,211.88 EUR is safe today before optional changes; the reserve is 600 EUR. Wait: complete payment by 2024-11-15. Forecast minimum after payments: 811.88 EUR.
request_260,6445998.99,not_affordable,not_recommended,none,,none,6445998.99 IDR is safe today before optional changes; the reserve is 20727700 IDR. No permitted plan completes the request by 2025-04-18 while passing the 90-day reserve check.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,1830.4 EUR is safe today before optional changes; the reserve is 1500 EUR. Full payment: complete payment by 2026-07-03. Forecast minimum after payments: 1772.68 EUR.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,9236000 IDR is safe today before optional changes; the reserve is 31018500 IDR. Full payment: complete payment by 2024-12-05. Forecast minimum after payments: 57445828.91 IDR.
request_263,5829.56,not_affordable,not_recommended,none,,none,5829.56 ZAR is safe today before optional changes; the reserve is 24100 ZAR. No permitted plan completes the request by 2025-06-15 while passing the 90-day reserve check.
request_264,23764.71,affordable_later,wait,2026-06-15:111300,2026-06-15,none,23764.71 INR is safe today before optional changes; the reserve is 59500 INR. Wait: complete payment by 2026-06-15. Forecast minimum after payments: 83264.71 INR.
request_265,0,not_affordable,not_recommended,none,,none,0 INR is safe today before optional changes; the reserve is 189700 INR. No permitted plan completes the request by 2024-03-21 while passing the 90-day reserve check.
request_266,770.25,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,770.25 EUR is safe today before optional changes; the reserve is 900 EUR. Installments: complete payment by 2025-09-28. Forecast minimum after payments: 927.41 EUR.
request_267,1641.7,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,stop:event_24573,1641.7 EUR is safe today before optional changes; the reserve is 1500 EUR. Installments: complete payment by 2026-03-09. Requires stop:event_24573. Forecast minimum after payments: 1640.27 EUR.
request_268,1041.5,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,1041.5 EUR is safe today before optional changes; the reserve is 1400 EUR. Installments: complete payment by 2024-08-15. Forecast minimum after payments: 1600.28 EUR.
